Journée du 01/01/2023,Unnamed: 1,Unnamed: 2,Unnamed: 3
Heures,PrévisionJ-1,PrévisionJ,Consommation
00:00:00,46800,48000,46008
00:15:00,46050,47500,46462
00:30:00,45500,47000,45349
00:45:00,44650,46350,44669
01:00:00,43800,45700,45387
01:15:00,44100,45950,45864
01:30:00,44400,46200,45500
01:45:00,44350,46100,45694
02:00:00,44300,46000,45444
02:15:00,43750,45450,45680
02:30:00,43200,44900,44566
02:45:00,42200,44050,43726
03:00:00,41200,43200,42878
03:15:00,40400,42500,42265
03:30:00,39600,41800,41583
03:45:00,38950,41150,40914
04:00:00,38300,40500,40164
04:15:00,37900,40200,39714
04:30:00,37500,39900,39247
04:45:00,37250,39600,38672
05:00:00,37000,39300,38504
05:15:00,36800,39250,38558
05:30:00,36600,39200,38356
05:45:00,36400,39250,38221
06:00:00,36200,39300,38132
06:15:00,36300,38950,38645
06:30:00,36400,38600,38578
06:45:00,36350,38600,38562
07:00:00,36300,38600,38619
07:15:00,36250,38800,39026
07:30:00,36200,39000,38993
07:45:00,36350,39100,39045
08:00:00,36500,39200,39238
08:15:00,36350,39250,39196
08:30:00,36200,39300,39263
08:45:00,36350,39450,39293
09:00:00,36500,39600,39557
09:15:00,37050,39450,38773
09:30:00,37600,39300,39331
09:45:00,38050,39700,39784
10:00:00,38500,40100,40059
10:15:00,39000,40500,40536
10:30:00,39500,40900,40889
10:45:00,39950,41350,41370
11:00:00,40400,41800,41823
11:15:00,40950,42200,42243
11:30:00,41500,42600,42684
11:45:00,42150,43550,43306
12:00:00,42800,44500,44001
12:15:00,42650,44600,44387
12:30:00,42500,44700,44275
12:45:00,42300,44750,44746
13:00:00,42100,44800,44553
13:15:00,41950,44150,44424
13:30:00,41800,43500,43647
13:45:00,41700,43650,43143
14:00:00,41600,43800,43325
14:15:00,41350,43500,43423
14:30:00,41100,43200,43015
14:45:00,41200,43200,43203
15:00:00,41300,43200,43122
15:15:00,41100,42900,43096
15:30:00,40900,42600,42554
15:45:00,40650,42350,42263
16:00:00,40400,42100,42150
16:15:00,40300,41850,41774
16:30:00,40200,41600,41874
16:45:00,40500,41850,41564
17:00:00,40800,42100,42287
17:15:00,41800,42950,43253
17:30:00,42800,43800,44504
17:45:00,43850,44850,45239
18:00:00,44900,45900,46315
18:15:00,45400,46350,46505
18:30:00,45900,46800,47065
18:45:00,46350,47250,47606
19:00:00,46800,47700,47868
19:15:00,46900,47750,48147
19:30:00,47000,47800,48048
19:45:00,46850,47650,47777
20:00:00,46700,47500,47442
20:15:00,46250,47000,47048
20:30:00,45800,46500,46409
20:45:00,45350,46050,46141
21:00:00,44900,45600,45939
21:15:00,44450,45100,45680
21:30:00,44000,44600,44824
21:45:00,43400,44000,44461
22:00:00,42800,43400,44138
22:15:00,43250,43800,44122
22:30:00,43700,44200,44648
22:45:00,44750,45250,46093
23:00:00,45800,46300,45638
23:15:00,45400,45900,45501
23:30:00,45000,45500,44986
23:45:00,44700,44950,45417
,,,
,,,
Journée du 02/01/2023,,,
Heures,PrévisionJ-1,PrévisionJ,Consommation
00:00:00,44400,44600,44652
00:15:00,43700,44000,44549
00:30:00,43000,43400,43390
00:45:00,42100,42750,41939
01:00:00,41200,42100,41628
01:15:00,41500,42250,41956
01:30:00,41800,42400,41826
01:45:00,41700,42000,41900
02:00:00,41600,41600,41590
02:15:00,41150,41450,42162
02:30:00,40700,41300,41293
02:45:00,40050,40550,40513
03:00:00,39400,39800,39790
03:15:00,39050,39400,39534
03:30:00,38700,39000,38950
03:45:00,38450,38700,38580
04:00:00,38200,38400,38441
04:15:00,38200,38400,38471
04:30:00,38200,38400,38370
04:45:00,38400,38650,38462
05:00:00,38600,38900,38892
05:15:00,39050,39600,39907
05:30:00,39500,40300,40167
05:45:00,40250,41150,40821
06:00:00,41000,42000,41461
06:15:00,42050,42950,43143
06:30:00,43100,43900,43917
06:45:00,44000,44800,44816
07:00:00,44900,45700,45655
07:15:00,45950,46450,46575
07:30:00,47000,47200,47215
07:45:00,48250,48100,48098
08:00:00,49500,49000,48957
08:15:00,49800,49500,49527
08:30:00,50100,50000,49770
08:45:00,50450,50250,50143
09:00:00,50800,50500,50613
09:15:00,51500,50950,50817
09:30:00,52200,51400,51405
09:45:00,52600,51850,51762
10:00:00,53000,52300,52248
10:15:00,53350,52500,52712
10:30:00,53700,52700,52711
10:45:00,54000,52950,52741
11:00:00,54300,53200,53214
11:15:00,54850,53400,53602
11:30:00,55400,53600,53642
11:45:00,55700,54150,53900
12:00:00,56000,54700,54528
12:15:00,55750,54450,54396
12:30:00,55500,54200,54181
12:45:00,55250,53750,54087
13:00:00,55000,53300,53340
13:15:00,54550,53000,53171
13:30:00,54100,52700,52733
13:45:00,54200,52700,52579
14:00:00,54300,52700,52742
14:15:00,54100,52550,52781
14:30:00,53900,52400,52459
14:45:00,53700,52250,52496
15:00:00,53500,52100,52326
15:15:00,53200,51800,52138
15:30:00,52900,51500,51585
15:45:00,52800,51450,51413
16:00:00,52700,51400,51284
16:15:00,52800,51550,51096
16:30:00,52900,51700,51040
16:45:00,53150,52000,51002
17:00:00,53400,52300,51584
17:15:00,54750,53700,52470
17:30:00,56100,55100,53849
17:45:00,57250,56300,55103
18:00:00,58400,57500,56037
18:15:00,59000,58150,56451
18:30:00,59600,58800,57403
18:45:00,60050,59300,58384
19:00:00,60500,59800,59168
19:15:00,59900,59250,58622
19:30:00,59300,58700,58213
19:45:00,58500,57900,57496
20:00:00,57700,57100,56819
20:15:00,57150,56600,55712
20:30:00,56600,56100,54708
20:45:00,55550,55100,53782
21:00:00,54500,54100,53074
21:15:00,53700,53300,52373
21:30:00,52900,52500,51610
21:45:00,52250,51900,51031
22:00:00,51600,51300,50752
22:15:00,52000,51700,50930
22:30:00,52400,52100,51415
22:45:00,53200,52950,52732
23:00:00,54000,53800,52342
23:15:00,53800,53650,52134
23:30:00,53600,53500,51924
23:45:00,52950,52900,52101
,,,
,,,
Journée du 03/01/2023,,,
Heures,PrévisionJ-1,PrévisionJ,Consommation
00:00:00,52300,51300,51351
00:15:00,51500,50500,51130
00:30:00,50700,49700,49763
00:45:00,49950,48900,48436
01:00:00,49200,48100,48106
01:15:00,49500,48500,48525
01:30:00,49800,48900,48215
01:45:00,50000,48800,48598
02:00:00,50200,48700,48308
02:15:00,49750,48350,48914
02:30:00,49300,48000,47921
02:45:00,48600,47350,47414
03:00:00,47900,46700,46695
03:15:00,47450,46200,46472
03:30:00,47000,45700,45754
03:45:00,46850,45450,45445
04:00:00,46700,45200,45262
04:15:00,46650,45050,45125
04:30:00,46600,44900,44912
04:45:00,46800,45300,44864
05:00:00,47000,45700,45631
05:15:00,47750,46550,46834
05:30:00,48500,47400,47393
05:45:00,49450,48450,48026
06:00:00,50400,49500,49209
06:15:00,52350,51000,51244
06:30:00,54300,52500,52461
06:45:00,55950,53950,53961
07:00:00,57600,55400,55434
07:15:00,59250,56650,56636
07:30:00,60900,57900,57911
07:45:00,61750,58750,58777
08:00:00,62600,59600,59597
